#,CS,VBNL-N,VDD33_N,WE,ADDR[9],ADDR[8],ADDR[7],ADDR[6],ADDR[5],ADDR[4],ADDR[3],ADDR[2],ADDR[1],ADDR[0],VDD,VSS,SA
1,1,4,4,1,0,0,0,0,0,0,0,0,0,0,1.1,0,0
3,1,4,4,1,0,0,0,0,0,0,0,0,1,0,1.1,0,0
5,1,4,4,1,0,0,0,0,0,0,0,1,0,0,1.1,0,0
7,1,4,4,1,0,0,0,0,0,0,0,1,1,0,1.1,0,0
9,1,4,4,1,0,0,0,0,0,0,1,0,0,0,1.1,0,0
11,1,4,4,1,0,0,0,0,0,0,1,0,1,0,1.1,0,0
13,1,4,4,1,0,0,0,0,0,0,1,1,0,0,1.1,0,0
15,1,4,4,1,0,0,0,0,0,0,1,1,1,0,1.1,0,0
17,1,4,4,1,0,0,0,0,0,1,0,0,0,0,1.1,0,0
19,1,4,4,1,0,0,0,0,0,1,0,0,1,0,1.1,0,0
21,1,4,4,1,0,0,0,0,0,1,0,1,0,0,1.1,0,0
23,1,4,4,1,0,0,0,0,0,1,0,1,1,0,1.1,0,0
25,1,4,4,1,0,0,0,0,0,1,1,0,0,0,1.1,0,0
27,1,4,4,1,0,0,0,0,0,1,1,0,1,0,1.1,0,0
29,1,4,4,1,0,0,0,0,0,1,1,1,0,0,1.1,0,0
31,1,4,4,1,0,0,0,0,0,1,1,1,1,0,1.1,0,0
34,1,4,4,1,0,0,0,0,1,0,0,0,0,1,1.1,0,0
36,1,4,4,1,0,0,0,0,1,0,0,0,1,1,1.1,0,0
38,1,4,4,1,0,0,0,0,1,0,0,1,0,1,1.1,0,0
40,1,4,4,1,0,0,0,0,1,0,0,1,1,1,1.1,0,0
42,1,4,4,1,0,0,0,0,1,0,1,0,0,1,1.1,0,0
44,1,4,4,1,0,0,0,0,1,0,1,0,1,1,1.1,0,0
46,1,4,4,1,0,0,0,0,1,0,1,1,0,1,1.1,0,0
48,1,4,4,1,0,0,0,0,1,0,1,1,1,1,1.1,0,0
50,1,4,4,1,0,0,0,0,1,1,0,0,0,1,1.1,0,0
52,1,4,4,1,0,0,0,0,1,1,0,0,1,1,1.1,0,0
54,1,4,4,1,0,0,0,0,1,1,0,1,0,1,1.1,0,0
56,1,4,4,1,0,0,0,0,1,1,0,1,1,1,1.1,0,0
58,1,4,4,1,0,0,0,0,1,1,1,0,0,1,1.1,0,0
60,1,4,4,1,0,0,0,0,1,1,1,0,1,1,1.1,0,0
62,1,4,4,1,0,0,0,0,1,1,1,1,0,1,1.1,0,0
64,1,4,4,1,0,0,0,0,1,1,1,1,1,1,1.1,0,0
65,1,4,4,1,0,0,0,1,0,0,0,0,0,0,1.1,0,0
67,1,4,4,1,0,0,0,1,0,0,0,0,1,0,1.1,0,0
69,1,4,4,1,0,0,0,1,0,0,0,1,0,0,1.1,0,0
71,1,4,4,1,0,0,0,1,0,0,0,1,1,0,1.1,0,0
73,1,4,4,1,0,0,0,1,0,0,1,0,0,0,1.1,0,0
75,1,4,4,1,0,0,0,1,0,0,1,0,1,0,1.1,0,0
77,1,4,4,1,0,0,0,1,0,0,1,1,0,0,1.1,0,0
79,1,4,4,1,0,0,0,1,0,0,1,1,1,0,1.1,0,0
81,1,4,4,1,0,0,0,1,0,1,0,0,0,0,1.1,0,0
83,1,4,4,1,0,0,0,1,0,1,0,0,1,0,1.1,0,0
85,1,4,4,1,0,0,0,1,0,1,0,1,0,0,1.1,0,0
87,1,4,4,1,0,0,0,1,0,1,0,1,1,0,1.1,0,0
89,1,4,4,1,0,0,0,1,0,1,1,0,0,0,1.1,0,0
91,1,4,4,1,0,0,0,1,0,1,1,0,1,0,1.1,0,0
93,1,4,4,1,0,0,0,1,0,1,1,1,0,0,1.1,0,0
95,1,4,4,1,0,0,0,1,0,1,1,1,1,0,1.1,0,0
98,1,4,4,1,0,0,0,1,1,0,0,0,0,1,1.1,0,0
100,1,4,4,1,0,0,0,1,1,0,0,0,1,1,1.1,0,0
102,1,4,4,1,0,0,0,1,1,0,0,1,0,1,1.1,0,0
104,1,4,4,1,0,0,0,1,1,0,0,1,1,1,1.1,0,0
106,1,4,4,1,0,0,0,1,1,0,1,0,0,1,1.1,0,0
108,1,4,4,1,0,0,0,1,1,0,1,0,1,1,1.1,0,0
110,1,4,4,1,0,0,0,1,1,0,1,1,0,1,1.1,0,0
112,1,4,4,1,0,0,0,1,1,0,1,1,1,1,1.1,0,0
114,1,4,4,1,0,0,0,1,1,1,0,0,0,1,1.1,0,0
116,1,4,4,1,0,0,0,1,1,1,0,0,1,1,1.1,0,0
118,1,4,4,1,0,0,0,1,1,1,0,1,0,1,1.1,0,0
120,1,4,4,1,0,0,0,1,1,1,0,1,1,1,1.1,0,0
122,1,4,4,1,0,0,0,1,1,1,1,0,0,1,1.1,0,0
124,1,4,4,1,0,0,0,1,1,1,1,0,1,1,1.1,0,0
126,1,4,4,1,0,0,0,1,1,1,1,1,0,1,1.1,0,0
128,1,4,4,1,0,0,0,1,1,1,1,1,1,1,1.1,0,0
129,1,4,4,1,0,0,1,0,0,0,0,0,0,0,1.1,0,0
131,1,4,4,1,0,0,1,0,0,0,0,0,1,0,1.1,0,0
133,1,4,4,1,0,0,1,0,0,0,0,1,0,0,1.1,0,0
135,1,4,4,1,0,0,1,0,0,0,0,1,1,0,1.1,0,0
137,1,4,4,1,0,0,1,0,0,0,1,0,0,0,1.1,0,0
